grid,experiment,average_error
0,0,31.953090617340916
0,1,55.90169943749474
0,2,30.805843601498726
0,3,29.966648127543394
0,4,51.73973328110612
0,5,24.839484696748443
0,6,19.1049731745428
0,7,54.589376255824725
0,8,59.481089431852205
0,9,19.235384061671343
1,0,96.13012014972206
1,1,3.605551275463989
1,2,28.160255680657446
1,3,28.284271247461902
1,4,34.48187929913333
1,5,41.6293165929973
1,6,25.317977802344327
1,7,4.242640687119285
1,8,31.064449134018133
1,9,39.20459156782532
2,0,21.840329667841555
2,1,19.1049731745428
2,2,19.4164878389476
2,3,42.42640687119285
2,4,34.058772731852805
2,5,52.3450093132096
2,6,37.33630940518894
2,7,83.02409288875127
2,8,21.840329667841555
2,9,39.56008088970496
3,0,12.041594578792296
3,1,26.248809496813376
3,2,23.345235059857504
3,3,12.529964086141668
3,4,24.166091947189145
3,5,68.3593446428504
3,6,84.52810183601665
3,7,33.94112549695428
3,8,40.52159917870962
3,9,53.74011537017761
4,0,60.53924347066124
4,1,33.61547262794322
4,2,76.11832893594026
4,3,35.0
4,4,46.32493928760188
4,5,30.4138126514911
4,6,49.39635614091387
4,7,74.63243262818116
4,8,23.600847442411894
4,9,66.03029607687671
5,0,82.87339742040264
5,1,35.22782990761707
5,2,43.278170016764804
5,3,90.13878188659973
5,4,37.48332962798263
5,5,44.553338819890925
5,6,8.0
5,7,48.507731342539614
5,8,65.45991139621256
5,9,82.49242389456137
6,0,67.72001181334805
6,1,69.0
6,2,38.91015291668744
6,3,64.8459713474939
6,4,63.56886030125127
6,5,43.04648650006177
6,6,71.56814934033156
6,7,23.259406699226016
6,8,42.190046219457976
6,9,90.55385138137417
7,0,75.32595834106593
7,1,83.93449827097318
7,2,41.10960958218893
7,3,78.54934754662193
7,4,28.160255680657446
7,5,54.70831746635972
7,6,30.805843601498726
7,7,96.6902270139025
7,8,76.05918747922567
7,9,53.46026561849464
8,0,46.32493928760188
8,1,37.94733192202055
8,2,8.54400374531753
8,3,19.4164878389476
8,4,37.013511046643494
8,5,60.00833275470999
8,6,9.219544457292887
8,7,19.313207915827967
8,8,12.806248474865697
8,9,20.248456731316587
9,0,2.23606797749979
9,1,80.05623023850174
9,2,45.60701700396552
9,3,46.87216658103186
9,4,16.97056274847714
9,5,27.85677655436824
9,6,48.75448697299562
9,7,1.4142135623730951
9,8,52.15361924162119
9,9,1.0
