100 50
1 1 H
1 2 B
1 3 H
1 4 N
1 5 T
1 6 H
1 7 B
1 8 H
1 9 N
1 10 N
1 11 H
1 12 N
1 13 N
1 14 T
1 15 T
1 16 B
1 17 T
1 18 H
1 19 H
1 20 H
1 21 T
1 22 N
1 23 H
1 24 H
1 25 N
1 26 T
1 27 N
1 28 N
1 29 H
1 30 N
1 31 T
1 32 N
1 33 N
1 34 N
1 35 H
1 36 N
1 37 N
1 38 T
1 39 B
1 40 N
1 41 N
1 42 N
1 43 N
1 44 N
1 45 H
1 46 N
1 47 H
1 48 H
1 49 T
1 50 N
2 1 B
2 2 H
2 3 T
2 4 T
2 5 N
2 6 N
2 7 T
2 8 B
2 9 H
2 10 N
2 11 N
2 12 N
2 13 N
2 14 N
2 15 H
2 16 N
2 17 N
2 18 T
2 19 N
2 20 H
2 21 T
2 22 N
2 23 N
2 24 B
2 25 N
2 26 T
2 27 B
2 28 N
2 29 T
2 30 H
2 31 T
2 32 N
2 33 H
2 34 N
2 35 N
2 36 N
2 37 T
2 38 H
2 39 B
2 40 H
2 41 H
2 42 N
2 43 T
2 44 N
2 45 H
2 46 N
2 47 N
2 48 N
2 49 T
2 50 T
3 1 H
3 2 T
3 3 H
3 4 H
3 5 N
3 6 H
3 7 N
3 8 N
3 9 N
3 10 N
3 11 H
3 12 H
3 13 T
3 14 B
3 15 T
3 16 T
3 17 N
3 18 H
3 19 H
3 20 N
3 21 N
3 22 N
3 23 H
3 24 N
3 25 T
3 26 T
3 27 N
3 28 H
3 29 B
3 30 T
3 31 N
3 32 N
3 33 T
3 34 H
3 35 N
3 36 H
3 37 N
3 38 N
3 39 B
3 40 N
3 41 T
3 42 N
3 43 N
3 44 N
3 45 N
3 46 H
3 47 N
3 48 T
3 49 B
3 50 T
4 1 N
4 2 N
4 3 H
4 4 N
4 5 N
4 6 H
4 7 T
4 8 N
4 9 T
4 10 T
4 11 H
4 12 T
4 13 H
4 14 H
4 15 N
4 16 N
4 17 N
4 18 H
4 19 N
4 20 B
4 21 T
4 22 N
4 23 N
4 24 B
4 25 N
4 26 N
4 27 N
4 28 B
4 29 N
4 30 H
4 31 H
4 32 H
4 33 N
4 34 T
4 35 H
4 36 B
4 37 T
4 38 N
4 39 N
4 40 H
4 41 T
4 42 N
4 43 N
4 44 T
4 45 T
4 46 H
4 47 H
4 48 N
4 49 N
4 50 T
5 1 H
5 2 N
5 3 N
5 4 B
5 5 N
5 6 T
5 7 N
5 8 T
5 9 N
5 10 T
5 11 N
5 12 N
5 13 N
5 14 H
5 15 T
5 16 B
5 17 H
5 18 N
5 19 N
5 20 H
5 21 N
5 22 H
5 23 N
5 24 N
5 25 N
5 26 T
5 27 N
5 28 N
5 29 N
5 30 H
5 31 T
5 32 N
5 33 N
5 34 N
5 35 N
5 36 H
5 37 B
5 38 N
5 39 H
5 40 N
5 41 T
5 42 H
5 43 T
5 44 N
5 45 H
5 46 N
5 47 N
5 48 N
5 49 H
5 50 N
6 1 N
6 2 N
6 3 H
6 4 H
6 5 N
6 6 H
6 7 T
6 8 N
6 9 H
6 10 N
6 11 N
6 12 H
6 13 H
6 14 N
6 15 N
6 16 T
6 17 N
6 18 T
6 19 N
6 20 B
6 21 N
6 22 T
6 23 N
6 24 T
6 25 B
6 26 T
6 27 N
6 28 N
6 29 H
6 30 H
6 31 N
6 32 H
6 33 B
6 34 T
6 35 N
6 36 T
6 37 N
6 38 H
6 39 T
6 40 N
6 41 H
6 42 H
6 43 N
6 44 H
6 45 T
6 46 N
6 47 T
6 48 H
6 49 B
6 50 T
7 1 H
7 2 N
7 3 N
7 4 N
7 5 H
7 6 N
7 7 N
7 8 B
7 9 N
7 10 N
7 11 T
7 12 N
7 13 T
7 14 N
7 15 N
7 16 H
7 17 H
7 18 T
7 19 N
7 20 T
7 21 T
7 22 B
7 23 N
7 24 N
7 25 T
7 26 N
7 27 N
7 28 B
7 29 H
7 30 H
7 31 N
7 32 N
7 33 T
7 34 N
7 35 N
7 36 T
7 37 N
7 38 T
7 39 N
7 40 N
7 41 T
7 42 T
7 43 N
7 44 N
7 45 H
7 46 T
7 47 H
7 48 N
7 49 H
7 50 N
8 1 H
8 2 H
8 3 N
8 4 N
8 5 H
8 6 N
8 7 H
8 8 N
8 9 N
8 10 N
8 11 T
8 12 T
8 13 N
8 14 B
8 15 N
8 16 B
8 17 B
8 18 N
8 19 H
8 20 B
8 21 N
8 22 T
8 23 B
8 24 N
8 25 T
8 26 N
8 27 T
8 28 B
8 29 T
8 30 T
8 31 T
8 32 N
8 33 H
8 34 N
8 35 B
8 36 T
8 37 H
8 38 H
8 39 B
8 40 N
8 41 N
8 42 N
8 43 T
8 44 N
8 45 N
8 46 B
8 47 N
8 48 H
8 49 H
8 50 N
9 1 H
9 2 B
9 3 H
9 4 N
9 5 T
9 6 N
9 7 N
9 8 H
9 9 B
9 10 N
9 11 N
9 12 B
9 13 N
9 14 N
9 15 N
9 16 N
9 17 N
9 18 T
9 19 N
9 20 T
9 21 T
9 22 T
9 23 T
9 24 N
9 25 N
9 26 N
9 27 N
9 28 H
9 29 B
9 30 B
9 31 N
9 32 H
9 33 N
9 34 T
9 35 T
9 36 H
9 37 T
9 38 N
9 39 N
9 40 N
9 41 H
9 42 N
9 43 N
9 44 H
9 45 N
9 46 B
9 47 T
9 48 N
9 49 H
9 50 B
10 1 N
10 2 N
10 3 T
10 4 N
10 5 T
10 6 N
10 7 N
10 8 H
10 9 N
10 10 N
10 11 N
10 12 H
10 13 H
10 14 B
10 15 H
10 16 H
10 17 T
10 18 H
10 19 B
10 20 N
10 21 H
10 22 N
10 23 N
10 24 N
10 25 N
10 26 T
10 27 H
10 28 T
10 29 T
10 30 T
10 31 B
10 32 N
10 33 N
10 34 N
10 35 T
10 36 T
10 37 B
10 38 B
10 39 N
10 40 H
10 41 N
10 42 N
10 43 N
10 44 T
10 45 N
10 46 N
10 47 N
10 48 T
10 49 N
10 50 N
11 1 N
11 2 N
11 3 B
11 4 N
11 5 N
11 6 H
11 7 H
11 8 N
11 9 H
11 10 N
11 11 H
11 12 H
11 13 B
11 14 N
11 15 H
11 16 N
11 17 T
11 18 B
11 19 H
11 20 N
11 21 N
11 22 N
11 23 N
11 24 N
11 25 N
11 26 H
11 27 N
